,country,date,fatal,confirmed,recovered
0,Australia,2020-01-22,0,0,0
22,Norway,2020-01-22,0,0,0
23,Philippines,2020-01-22,0,0,0
24,Poland,2020-01-22,0,0,0
25,Portugal,2020-01-22,0,0,0
26,Russia,2020-01-22,0,0,0
27,South Africa,2020-01-22,0,0,0
29,Sweden,2020-01-22,0,0,0
21,Netherlands,2020-01-22,0,0,0
30,Switzerland,2020-01-22,0,0,0
32,Thailand,2020-01-22,0,0,0
33,Tunisia,2020-01-22,0,0,0
34,Turkey,2020-01-22,0,0,0
35,US,2020-01-22,0,0,0
36,United Arab Emirates,2020-01-22,0,0,0
37,United Kingdom,2020-01-22,0,0,0
38,Vietnam,2020-01-22,0,0,0
31,Taiwan*,2020-01-22,0,0,0
20,Mexico,2020-01-22,0,0,0
28,Spain,2020-01-22,0,0,0
18,"Korea, South",2020-01-22,0,0,0
19,Luxembourg,2020-01-22,0,0,0
2,Belgium,2020-01-22,0,0,0
3,Brazil,2020-01-22,0,0,0
4,Canada,2020-01-22,0,0,0
5,China,2020-01-22,17,17,17
6,Denmark,2020-01-22,0,0,0
7,Finland,2020-01-22,0,0,0
8,France,2020-01-22,0,0,0
9,Germany,2020-01-22,0,0,0
1,Austria,2020-01-22,0,0,0
11,Hungary,2020-01-22,0,0,0
12,India,2020-01-22,0,0,0
13,Indonesia,2020-01-22,0,0,0
14,Iran,2020-01-22,0,0,0
15,Israel,2020-01-22,0,0,0
16,Italy,2020-01-22,0,0,0
17,Japan,2020-01-22,0,0,0
10,Greece,2020-01-22,0,0,0
59,Mexico,2020-01-23,0,0,0
65,Russia,2020-01-23,0,0,0
64,Portugal,2020-01-23,0,0,0
60,Netherlands,2020-01-23,0,0,0
62,Philippines,2020-01-23,0,0,0
61,Norway,2020-01-23,0,0,0
66,South Africa,2020-01-23,0,0,0
63,Poland,2020-01-23,0,0,0
68,Sweden,2020-01-23,0,0,0
72,Tunisia,2020-01-23,0,0,0
70,Taiwan*,2020-01-23,0,0,0
71,Thailand,2020-01-23,0,0,0
73,Turkey,2020-01-23,0,0,0
74,US,2020-01-23,0,0,0
75,United Arab Emirates,2020-01-23,0,0,0
76,United Kingdom,2020-01-23,0,0,0
77,Vietnam,2020-01-23,0,0,0
69,Switzerland,2020-01-23,0,0,0
58,Luxembourg,2020-01-23,0,0,0
67,Spain,2020-01-23,0,0,0
56,Japan,2020-01-23,0,0,0
40,Austria,2020-01-23,0,0,0
41,Belgium,2020-01-23,0,0,0
42,Brazil,2020-01-23,0,0,0
43,Canada,2020-01-23,0,0,0
44,China,2020-01-23,18,18,18
45,Denmark,2020-01-23,0,0,0
46,Finland,2020-01-23,0,0,0
47,France,2020-01-23,0,0,0
39,Australia,2020-01-23,0,0,0
57,"Korea, South",2020-01-23,0,0,0
49,Greece,2020-01-23,0,0,0
50,Hungary,2020-01-23,0,0,0
51,India,2020-01-23,0,0,0
52,Indonesia,2020-01-23,0,0,0
53,Iran,2020-01-23,0,0,0
54,Israel,2020-01-23,0,0,0
55,Italy,2020-01-23,0,0,0
48,Germany,2020-01-23,0,0,0
104,Russia,2020-01-24,0,0,0
103,Portugal,2020-01-24,0,0,0
99,Netherlands,2020-01-24,0,0,0
101,Philippines,2020-01-24,0,0,0
100,Norway,2020-01-24,0,0,0
105,South Africa,2020-01-24,0,0,0
102,Poland,2020-01-24,0,0,0
106,Spain,2020-01-24,0,0,0
116,Vietnam,2020-01-24,0,0,0
108,Switzerland,2020-01-24,0,0,0
109,Taiwan*,2020-01-24,0,0,0
110,Thailand,2020-01-24,0,0,0
112,Turkey,2020-01-24,0,0,0
113,US,2020-01-24,0,0,0
114,United Arab Emirates,2020-01-24,0,0,0
115,United Kingdom,2020-01-24,0,0,0
98,Mexico,2020-01-24,0,0,0
107,Sweden,2020-01-24,0,0,0
111,Tunisia,2020-01-24,0,0,0
97,Luxembourg,2020-01-24,0,0,0
95,Japan,2020-01-24,0,0,0
96,"Korea, South",2020-01-24,0,0,0
78,Australia,2020-01-24,0,0,0
79,Austria,2020-01-24,0,0,0
80,Belgium,2020-01-24,0,0,0
81,Brazil,2020-01-24,0,0,0
83,China,2020-01-24,26,26,26
84,Denmark,2020-01-24,0,0,0
85,Finland,2020-01-24,0,0,0
82,Canada,2020-01-24,0,0,0
87,Germany,2020-01-24,0,0,0
86,France,2020-01-24,0,0,0
93,Israel,2020-01-24,0,0,0
92,Iran,2020-01-24,0,0,0
91,Indonesia,2020-01-24,0,0,0
94,Italy,2020-01-24,0,0,0
89,Hungary,2020-01-24,0,0,0
88,Greece,2020-01-24,0,0,0
90,India,2020-01-24,0,0,0
145,Spain,2020-01-25,0,0,0
139,Norway,2020-01-25,0,0,0
140,Philippines,2020-01-25,0,0,0
141,Poland,2020-01-25,0,0,0
142,Portugal,2020-01-25,0,0,0
143,Russia,2020-01-25,0,0,0
144,South Africa,2020-01-25,0,0,0
146,Sweden,2020-01-25,0,0,0
138,Netherlands,2020-01-25,0,0,0
148,Taiwan*,2020-01-25,0,0,0
149,Thailand,2020-01-25,0,0,0
150,Tunisia,2020-01-25,0,0,0
151,Turkey,2020-01-25,0,0,0
152,US,2020-01-25,0,0,0
153,United Arab Emirates,2020-01-25,0,0,0
154,United Kingdom,2020-01-25,0,0,0
155,Vietnam,2020-01-25,0,0,0
147,Switzerland,2020-01-25,0,0,0
137,Mexico,2020-01-25,0,0,0
126,Germany,2020-01-25,0,0,0
135,"Korea, South",2020-01-25,0,0,0
118,Austria,2020-01-25,0,0,0
119,Belgium,2020-01-25,0,0,0
120,Brazil,2020-01-25,0,0,0
121,Canada,2020-01-25,0,0,0
