"TIME","GEO","N_PERSON","Value"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","1 person",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","2 persons",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","3 persons",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","4 persons",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","5 persons",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","6 persons or more",":"
"2010","European Union - 27 countries (from 2020)","1 person","30.8"
"2010","European Union - 27 countries (from 2020)","2 persons","30.0"
"2010","European Union - 27 countries (from 2020)","3 persons","17.2"
"2010","European Union - 27 countries (from 2020)","4 persons","15.0"
"2010","European Union - 27 countries (from 2020)","5 persons","4.8"
"2010","European Union - 27 countries (from 2020)","6 persons or more","2.2"
"2010","European Union - 28 countries (2013-2020)","1 person","30.8"
"2010","European Union - 28 countries (2013-2020)","2 persons","30.5"
"2010","European Union - 28 countries (2013-2020)","3 persons","16.9"
"2010","European Union - 28 countries (2013-2020)","4 persons","14.9"
"2010","European Union - 28 countries (2013-2020)","5 persons","4.8"
"2010","European Union - 28 countries (2013-2020)","6 persons or more","2.1"
"2010","European Union - 27 countries (2007-2013)","1 person","30.9"
"2010","European Union - 27 countries (2007-2013)","2 persons","30.5"
"2010","European Union - 27 countries (2007-2013)","3 persons","16.9"
"2010","European Union - 27 countries (2007-2013)","4 persons","14.9"
"2010","European Union - 27 countries (2007-2013)","5 persons","4.7"
"2010","European Union - 27 countries (2007-2013)","6 persons or more","2.1"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","1 person",":"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","2 persons",":"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","3 persons",":"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","4 persons",":"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","5 persons",":"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","6 persons or more",":"
"2010","Euro area - 19 countries  (from 2015)","1 person","32.2"
"2010","Euro area - 19 countries  (from 2015)","2 persons","30.9"
"2010","Euro area - 19 countries  (from 2015)","3 persons","16.7"
"2010","Euro area - 19 countries  (from 2015)","4 persons","14.5"
"2010","Euro area - 19 countries  (from 2015)","5 persons","4.2"
"2010","Euro area - 19 countries  (from 2015)","6 persons or more","1.5"
"2010","Euro area - 18 countries (2014)","1 person","32.2"
"2010","Euro area - 18 countries (2014)","2 persons","31.0"
"2010","Euro area - 18 countries (2014)","3 persons","16.7"
"2010","Euro area - 18 countries (2014)","4 persons","14.5"
"2010","Euro area - 18 countries (2014)","5 persons","4.2"
"2010","Euro area - 18 countries (2014)","6 persons or more","1.5"
"2010","Belgium","1 person","34.5"
"2010","Belgium","2 persons","31.7"
"2010","Belgium","3 persons","15.0"
"2010","Belgium","4 persons","11.2"
"2010","Belgium","5 persons","5.5"
"2010","Belgium","6 persons or more","2.1"
"2010","Bulgaria","1 person","19.5"
"2010","Bulgaria","2 persons","27.8"
"2010","Bulgaria","3 persons","20.4"
"2010","Bulgaria","4 persons","19.3"
"2010","Bulgaria","5 persons","7.3"
"2010","Bulgaria","6 persons or more","5.7"
"2010","Czechia","1 person","23.5"
"2010","Czechia","2 persons","32.4"
"2010","Czechia","3 persons","20.5"
"2010","Czechia","4 persons","18.6"
"2010","Czechia","5 persons","3.8"
"2010","Czechia","6 persons or more","1.2"
"2010","Denmark","1 person","46.2"
"2010","Denmark","2 persons","29.9"
"2010","Denmark","3 persons","9.6"
"2010","Denmark","4 persons","10.3"
"2010","Denmark","5 persons","3.2"
"2010","Denmark","6 persons or more","0.8"
"2010","Germany (until 1990 former territory of the FRG)","1 person","39.8"
"2010","Germany (until 1990 former territory of the FRG)","2 persons","34.5"
"2010","Germany (until 1990 former territory of the FRG)","3 persons","12.7"
"2010","Germany (until 1990 former territory of the FRG)","4 persons","9.6"
