"N_PERSON","GEO","TIME","AGE","HHCOMP","UNIT","Value","Flag and Footnotes"
"Total","Bulgaria","2001","65 years or over","Total","Number","2,921,887",""
"Total","Czechia","2001","65 years or over","Total","Number","4,216,085",""
"Total","Denmark","2001","65 years or over","Total","Number","2,428,714",""
"Total","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","37,706,500",""
"Total","Estonia","2001","65 years or over","Total","Number","582,089",""
"Total","Ireland","2001","65 years or over","Total","Number","1,287,958",""
"Total","Greece","2001","65 years or over","Total","Number","3,664,392",""
"Total","Spain","2001","65 years or over","Total","Number","14,187,169",""
"Total","France","2001","65 years or over","Total","Number","23,808,072",""
"Total","Italy","2001","65 years or over","Total","Number","21,810,676",""
"Total","Cyprus","2001","65 years or over","Total","Number","223,790",""
"Total","Latvia","2001","65 years or over","Total","Number","802,848",""
"Total","Lithuania","2001","65 years or over","Total","Number","1,356,826",""
"Total","Luxembourg","2001","65 years or over","Total","Number","171,953",""
"Total","Hungary","2001","65 years or over","Total","Number","3,862,702",""
"Total","Netherlands","2001","65 years or over","Total","Number","6,866,302",""
"Total","Austria","2001","65 years or over","Total","Number","3,339,663",""
"Total","Poland","2001","65 years or over","Total","Number","13,337,040",""
"Total","Portugal","2001","65 years or over","Total","Number","3,650,757",""
"Total","Romania","2001","65 years or over","Total","Number","7,320,202",""
"Total","Slovenia","2001","65 years or over","Total","Number","684,847",""
"Total","Slovakia","2001","65 years or over","Total","Number","1,645,382",""
"Total","Finland","2001","65 years or over","Total","Number","2,295,386",""
"Total","United Kingdom","2001","65 years or over","Total","Number","24,479,437",""
"Total","Liechtenstein","2001","65 years or over","Total","Number","13,282",""
"Total","Norway","2001","65 years or over","Total","Number","1,961,548",""
"Total","Switzerland","2001","65 years or over","Total","Number","3,115,399",""
"No persons","Bulgaria","2001","65 years or over","Total","Number",":",""
"No persons","Czechia","2001","65 years or over","Total","Number","3,119,830",""
"No persons","Denmark","2001","65 years or over","Total","Number","1,827,655",""
"No persons","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","27,061,600",""
"No persons","Estonia","2001","65 years or over","Total","Number","417,857",""
"No persons","Ireland","2001","65 years or over","Total","Number","983,895",""
"No persons","Greece","2001","65 years or over","Total","Number","2,374,010",""
"No persons","Spain","2001","65 years or over","Total","Number","9,358,319",""
"No persons","France","2001","65 years or over","Total","Number","17,019,491",""
"No persons","Italy","2001","65 years or over","Total","Number","13,987,515",""
"No persons","Cyprus","2001","65 years or over","Total","Number","166,515",""
"No persons","Latvia","2001","65 years or over","Total","Number","593,765",""
"No persons","Lithuania","2001","65 years or over","Total","Number","972,179",""
"No persons","Luxembourg","2001","65 years or over","Total","Number","129,044",""
"No persons","Hungary","2001","65 years or over","Total","Number","2,658,704",""
"No persons","Netherlands","2001","65 years or over","Total","Number","5,438,467",""
"No persons","Austria","2001","65 years or over","Total","Number","2,416,334",""
"No persons","Poland","2001","65 years or over","Total","Number","9,550,240",""
"No persons","Portugal","2001","65 years or over","Total","Number","2,471,027",""
"No persons","Romania","2001","65 years or over","Total","Number","4,967,443",""
"No persons","Slovenia","2001","65 years or over","Total","Number","467,544",""
"No persons","Slovakia","2001","65 years or over","Total","Number","1,173,370",""
"No persons","Finland","2001","65 years or over","Total","Number","1,722,349",""
"No persons","United Kingdom","2001","65 years or over","Total","Number","17,690,825",""
"No persons","Liechtenstein","2001","65 years or over","Total","Number","10,796",""
"No persons","Norway","2001","65 years or over","Total","Number","1,464,757",""
"No persons","Switzerland","2001","65 years or over","Total","Number","2,349,338",""
"1 person","Bulgaria","2001","65 years or over","Total","Number",":",""
"1 person","Czechia","2001","65 years or over","Total","Number","816,641",""
"1 person","Denmark","2001","65 years or over","Total","Number","436,436",""
"1 person","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","7,345,300",""
"1 person","Estonia","2001","65 years or over","Total","Number","127,680",""
"1 person","Ireland","2001","65 years or over","Total","Number","218,142",""
"1 person","Greece","2001","65 years or over","Total","Number","885,275",""
"1 person","Spain","2001","65 years or over","Total","Number","2,947,581",""
"1 person","France","2001","65 years or over","Total","Number","4,409,540",""
"1 person","Italy","2001","65 years or over","Total","Number","5,289,442",""
"1 person","Cyprus","2001","65 years or over","Total","Number","36,227",""
"1 person","Latvia","2001","65 years or over","Total","Number","209,083",""
"1 person","Lithuania","2001","65 years or over","Total","Number","286,882",""
"1 person","Luxembourg","2001","65 years or over","Total","Number","28,926",""
"1 person","Hungary","2001","65 years or over","Total","Number","905,836",""
"1 person","Netherlands","2001","65 years or over","Total","Number","957,603",""
"1 person","Austria","2001","65 years or over","Total","Number","661,426",""
"1 person","Poland","2001","65 years or over","Total","Number","2,793,444",""
"1 person","Portugal","2001","65 years or over","Total","Number","742,228",""
"1 person","Romania","2001","65 years or over","Total","Number","1,676,715",""
"1 person","Slovenia","2001","65 years or over","Total","Number","156,701",""
