"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","279",""
"Åland Islands","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","25",""
"Åland Islands","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","23",""
"Åland Islands","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","19",""
"Åland Islands","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","19",""
"Åland Islands","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","26",""
"Åland Islands","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","31",""
"Åland Islands","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","21",""
"Åland Islands","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","24",""
"Åland Islands","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","24",""
"Åland Islands","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","27",""
"Åland Islands","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","16",""
"Åland Islands","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","24",""
"Åland Islands","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","293",""
"Åland Islands","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","18",""
"Åland Islands","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","21",""
"Åland Islands","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"Åland Islands","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","30",""
"Åland Islands","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","29",""
"Åland Islands","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","32",""
"Åland Islands","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"Åland Islands","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"Åland Islands","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","27",""
"Åland Islands","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","27",""
"Åland Islands","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","18",""
"Åland Islands","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","21",""
"Åland Islands","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","275",""
"Åland Islands","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","20",""
"Åland Islands","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","24",""
"Åland Islands","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","20",""
"Åland Islands","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","28",""
"Åland Islands","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","25",""
"Åland Islands","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","17",""
"Åland Islands","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","15",""
"Åland Islands","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","32",""
"Åland Islands","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","23",""
"Åland Islands","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","20",""
"Åland Islands","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","28",""
"Åland Islands","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","23",""
"Åland Islands","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","282",""
"Åland Islands","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","16",""
"Åland Islands","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","26",""
"Åland Islands","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","22",""
"Åland Islands","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","21",""
"Åland Islands","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","18",""
"Åland Islands","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","25",""
"Åland Islands","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","32",""
