"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","235",""
"Åland Islands","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","17",""
"Åland Islands","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","7",""
"Åland Islands","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","24",""
"Åland Islands","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","19",""
"Åland Islands","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","12",""
"Åland Islands","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","17",""
"Åland Islands","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","29",""
"Åland Islands","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","16",""
"Åland Islands","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","23",""
"Åland Islands","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","26",""
"Åland Islands","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","22",""
"Åland Islands","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","23",""
"Åland Islands","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","297",""
"Åland Islands","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","16",""
"Åland Islands","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","23",""
"Åland Islands","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","37",""
"Åland Islands","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","32",""
"Åland Islands","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","22",""
"Åland Islands","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","29",""
"Åland Islands","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"Åland Islands","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","17",""
"Åland Islands","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","25",""
"Åland Islands","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","18",""
"Åland Islands","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","30",""
"Åland Islands","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","24",""
"Åland Islands","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","285",""
"Åland Islands","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","26",""
"Åland Islands","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","29",""
"Åland Islands","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","28",""
"Åland Islands","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","36",""
"Åland Islands","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","26",""
"Åland Islands","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","19",""
"Åland Islands","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","12",""
"Åland Islands","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","24",""
"Åland Islands","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","23",""
"Åland Islands","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","19",""
"Åland Islands","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","23",""
"Åland Islands","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","20",""
"Åland Islands","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","251",""
