,country,date,fatal,confirmed,recovered,iso_code,continent,population,new_tests_smoothed,new_tests_smoothed_per_thousand,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Entity,Cumulative total,Cumulative total per thousand,hospital_beds_per_1000_people,occupancy,ICU-CCB_beds_per_1000_people,ventilators,fatalPerConfirmed,confirmedPer1MPopulation,fatalPer1MPopulation
0,Netherlands,2020-05-17,5699,44195,167,NLD,Europe,17134873,17.486,0.26899999999999996,,508.544,43.2,18.779,11.880999999999998,48472.545,5.29,24.4,27.3,3.32,Netherlands - people tested,306460,17.885,3.32,65.4,6.4,,0.1289512388279217,2579.2429275664895,332.5965707478544
1,New Zealand,2020-05-17,21,1499,1433,NZL,Oceania,4822233,47.845,1.082,38.49,18.206,37.9,15.322,9.72,36085.843,8.08,14.8,17.2,2.61,New Zealand - tests performed,238745,49.50899999999999,2.71,,4.6,334.0,0.014009339559706471,310.85183980118757,4.354828976534315
2,Norway,2020-05-17,232,8249,32,NOR,Europe,5421242,,0.44799999999999995,58.07,14.462,39.7,16.820999999999998,10.813,64800.057,5.31,19.6,20.7,3.6,Norway - people tested,223045,41.143,3.6,80.7,8.0,800.0,0.028124621166201964,1521.6070413384978,42.79462160147066
3,Poland,2020-05-17,925,18529,7451,POL,Europe,37846605,16.387999999999998,0.541,88.09,124.027,41.8,16.762999999999998,10.202,27216.445,5.91,23.3,33.1,6.62,Poland - samples tested,674861,17.831,6.62,,6.9,10100.0,0.049921744292730316,489.58156220353186,24.44076555876016
4,Portugal,2020-05-17,1218,29036,4636,PRT,Europe,10196707,64.96,1.52,81.34,112.371,46.2,21.502,14.924,27936.896,9.85,16.3,30.0,3.39,Portugal - samples tested,674001,66.1,3.39,66.8,4.2,1400.0,0.041947926711668276,2847.5859902613656,119.4503284246571
5,Latvia,2020-05-17,19,1008,662,LVA,Europe,1886202,46.869,0.895,,31.212,43.9,19.754,14.136,25063.846,4.91,25.6,51.0,5.57,Latvia - tests performed,92751,49.173,5.57,71.1,9.7,,0.018849206349206348,534.4072374008722,10.073152292278346
6,Lithuania,2020-05-17,56,1541,997,LTU,Europe,2722291,84.02,2.352,,45.135,43.5,19.002,13.778,29524.265,3.67,21.3,38.0,6.56,Lithuania - samples tested,245580,90.211,6.56,73.2,15.5,1000.0,0.036340038935756006,566.067330788663,20.570908841119483
7,Luxembourg,2020-05-17,107,3945,3702,LUX,Europe,625976,99.29,1.575,,231.447,39.7,14.312,9.842,94277.965,4.42,20.9,26.0,4.51,Luxembourg - people tested,64018,102.269,4.66,70.7,24.8,,0.02712294043092522,6302.158549209555,170.93307091645687
8,Mexico,2020-05-17,5177,49219,33329,MEX,North America,128932753,1.21,0.03,85.45,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,13.06,6.9,21.4,1.38,Mexico - people tested,156320,1.212,1.38,74.0,1.2,2050.0,0.10518295780084927,381.7416355020357,40.1527143378378
9,Turkey,2020-05-17,4140,149435,109962,TUR,Asia,84339067,19.267,0.431,80.42,104.914,31.6,8.152999999999999,5.061,25129.341,12.13,14.1,41.1,2.81,Turkey - tests performed,1696355,20.114,2.81,68.0,46.5,17000.0,0.027704353063204738,1771.8360578971071,49.08757171809833
10,United States,2020-05-17,89562,1486757,272265,USA,North America,331002647,34.732,1.087,68.41,35.60800000000001,38.3,15.413,9.732,54225.446,10.79,19.1,24.6,2.77,United States - inconsistent units (COVID Tracking Project),12233987,36.96,2.77,64.0,29.4,68000.0,0.06023983744485481,4491.677071090008,270.57789661724365
11,United States,2020-05-17,89562,1486757,272265,USA,North America,331002647,34.732,1.087,68.41,35.60800000000001,38.3,15.413,9.732,54225.446,10.79,19.1,24.6,2.77,United States - tests performed,12601143,38.07,2.77,64.0,29.4,68000.0,0.06023983744485481,4491.677071090008,270.57789661724365
12,Ukraine,2020-05-17,514,18291,5116,UKR,Europe,43733759,5.209,0.168,92.06,77.39,41.4,16.462,11.133,7894.393,7.11,13.5,47.4,8.8,Ukraine - units unclear,248529,5.683,8.8,,,3600.0,0.028101251981848995,418.23525848761363,11.75293438645418
13,United Kingdom,2020-05-17,34716,244995,1058,GBR,Europe,67886004,26.791,1.018,73.01,272.898,40.8,18.517,12.527,39753.244,4.28,20.0,24.7,2.54,United Kingdom - people tested,1996648,29.412,2.54,84.3,6.6,8175.0,0.14170085103777627,3608.9176791139453,511.38670645572245
14,United Kingdom,2020-05-17,34716,244995,1058,GBR,Europe,67886004,26.791,1.018,73.01,272.898,40.8,18.517,12.527,39753.244,4.28,20.0,24.7,2.54,United Kingdom - tests performed,2962227,43.635,2.54,84.3,6.6,8175.0,0.14170085103777627,3608.9176791139453,511.38670645572245
15,Slovakia,2020-05-17,28,1494,1163,SVK,Europe,5459643,26.094,0.591,78.96,113.128,41.2,15.07,9.167,30155.152,7.29,23.1,37.7,5.82,Slovakia - tests performed,148845,27.263,5.82,67.8,9.2,600.0,0.018741633199464525,273.644265751442,5.1285404558503185
16,Spain,2020-05-17,27563,230698,146446,ESP,Europe,46754783,,,83.07,93.105,45.5,19.436,13.799,34272.36,7.17,27.4,31.4,2.97,Spain - tests performed,1919411,41.053,2.97,75.3,9.7,,0.11947654509358556,4934.211757543608,589.5225735514589
17,Sweden,2020-05-17,3679,30143,4971,SWE,Europe,10099270,20.784000000000002,0.46299999999999997,47.35,24.718000000000004,41.0,19.985,13.433,46949.283,4.79,18.8,18.9,2.22,Sweden - people tested,209900,20.784,2.22,,5.8,570.0,0.1220515542580367,2984.671169302336,364.28375516250185
18,Switzerland,2020-05-17,1881,30587,27500,CHE,Europe,8654618,40.16,0.547,71.55,214.243,43.1,18.436,12.644,57410.166,5.59,22.6,28.9,4.53,Switzerland - tests performed,355386,41.063,4.53,82.0,11.0,,0.06149671429038481,3534.1825601083724,217.34061514904528
19,Slovenia,2020-05-17,104,1466,273,SVN,Europe,2078932,33.595,0.445,63.89,102.619,44.5,19.062,12.93,31400.84,7.25,20.1,25.0,4.5,Slovenia - tests performed,71951,34.61,4.5,69.5,6.4,,0.07094133697135062,705.1697698626025,50.02568626583265
20,Russia,2020-05-17,2631,281752,67373,RUS,Europe,145934460,47.391999999999996,1.4369999999999998,71.71,8.823,39.6,14.178,9.393,24765.954,6.18,23.4,58.3,8.05,Russia - tests performed,7578029,51.928,8.05,,8.3,40000.0,0.009337999375337176,1930.67490707815,18.028641076274926
21,Canada,2020-05-17,5903,78332,38563,CAN,North America,37742157,34.357,0.77,67.74,4.037,41.4,16.984,10.797,44017.59099999999,7.37,12.0,16.6,2.5,Canada - people tested,1372929,36.377,2.52,91.6,13.5,,0.07535872951028953,2075.451066561988,156.40335553688678
22,Colombia,2020-05-17,574,15574,3751,COL,South America,50882884,3.86,0.126,,44.223,32.2,7.646,4.312,13254.949,7.44,4.7,13.5,1.71,Colombia - samples tested,196417,3.86,1.7,,,,0.0368562989598048,306.07541820939235,11.280807117772648
23,Chile,2020-05-17,450,43781,19213,CHL,South America,19116209,19.015,0.619,78.83,24.282,35.4,11.087,6.938,22767.037,8.46,34.2,41.5,2.11,Chile - tests performed,409669,21.43,2.11,79.1,,,0.010278431282976635,2290.2553534542335,23.5402322709487
24,Australia,2020-05-17,99,7054,6392,AUS,Oceania,25499881,40.868,1.2,66.14,3.202,37.9,15.504,10.129,44648.71,5.07,13.0,16.5,3.84,Australia - tests performed,1111567,43.591,3.84,,9.1,1314.0,0.014034590303373973,276.6287419145211,3.882371058908079
25,Austria,2020-05-17,629,16242,14563,AUT,Europe,9006400,40.25,0.73,58.99,106.749,44.4,19.202,13.748,45436.686,6.35,28.4,30.9,7.37,Austria - tests performed,379592,42.147,7.37,73.8,21.8,2500.0,0.038726757788449695,1803.3842600817197,69.83922543968734
26,Bangladesh,2020-05-17,328,22268,4373,BGD,Asia,164689383,1.065,0.046,,1265.036,27.5,5.098,3.262,3523.984000000001,8.38,1.0,44.7,0.8,Bangladesh - samples tested,193645,1.176,0.87,,0.72,,0.014729656906772049,135.21211625402714,1.991628082060396
27,Belgium,2020-05-17,9052,55280,14630,BEL,Europe,11589616,50.041000000000004,1.1840000000000002,,375.564,41.8,18.571,12.849,42658.576,4.29,25.1,31.4,5.64,Belgium - units unclear,585806,50.54600000000001,5.76,81.8,15.9,,0.16374819102749638,4769.787023142096,781.0439966259452
28,Hungary,2020-05-17,451,3509,1396,HUN,Europe,9660350,13.989,0.39799999999999996,59.53,108.043,43.4,18.577,11.976,26777.561,7.55,26.8,34.8,7.02,Hungary - tests performed,142729,14.775,7.02,65.5,13.8,2560.0,0.12852664576802508,363.2373568245457,46.68567909030211
29,Iceland,2020-05-17,10,1802,1786,ISL,Europe,341250,166.567,1.1159999999999999,,3.404,37.3,14.431,9.207,46482.958,5.31,14.3,15.2,2.91,Iceland - samples tested,57587,168.753,3.06,,9.1,,0.005549389567147614,5280.58608058608,29.304029304029303
30,India,2020-05-17,3025,95698,36795,IND,Asia,1380004385,1.614,0.064,78.85,450.419,28.2,5.989,3.414,6426.674,10.39,1.9,20.6,0.53,India - people tested,525667,0.381,0.53,,,40000.0,0.03160985600535016,69.34615646166951,2.192022020277856
31,India,2020-05-17,3025,95698,36795,IND,Asia,1380004385,1.614,0.064,78.85,450.419,28.2,5.989,3.414,6426.674,10.39,1.9,20.6,0.53,India - samples tested,2512388,1.821,0.53,,,40000.0,0.03160985600535016,69.34615646166951,2.192022020277856
32,Denmark,2020-05-17,547,11125,9425,DNK,Europe,5792203,67.108,1.7480000000000002,79.49,136.52,42.3,19.677,12.325,46682.515,6.41,19.3,18.8,2.5,Denmark - people tested,412051,71.139,2.61,,6.7,,0.0491685393258427,1920.685445589528,94.4372978640424
33,Ireland,2020-05-17,1543,24112,19470,IRL,Europe,4937796,,1.125,,69.874,38.7,13.928,8.677999999999999,67335.293,3.28,23.0,25.7,2.96,Ireland - units unclear,295626,59.87,2.96,94.9,6.5,,0.06399303251493033,4883.150296205027,312.48759568033995
34,Israel,2020-05-17,272,16617,12942,ISR,Asia,8655541,57.647,0.737,,402.606,30.6,11.733,7.359,33132.32,6.74,15.4,35.4,2.99,Israel - tests performed,498969,57.647,3.02,93.3,,,0.01636877896130469,1919.8106738793103,31.424956568283832
35,Italy,2020-05-17,31908,225435,125176,ITA,Europe,60461828,49.7,1.037,,205.859,47.9,23.021,16.24,35220.084,4.78,19.8,27.8,3.18,Italy - people tested,2038216,33.711,3.18,78.9,12.5,5324.0,0.1415396899327966,3728.5508469906003,527.7379307817157
36,Italy,2020-05-17,31908,225435,125176,ITA,Europe,60461828,49.7,1.037,,205.859,47.9,23.021,16.24,35220.084,4.78,19.8,27.8,3.18,Italy - tests performed,3171719,52.458,3.18,78.9,12.5,5324.0,0.1415396899327966,3728.5508469906003,527.7379307817157
