,country,date,fatal,confirmed,recovered,iso_code
0,Afghanistan,2020-01-22,0,0,0,AFG
1,Afghanistan,2020-01-23,0,0,0,AFG
2,Afghanistan,2020-01-24,0,0,0,AFG
3,Afghanistan,2020-01-25,0,0,0,AFG
4,Afghanistan,2020-01-26,0,0,0,AFG
5,Afghanistan,2020-01-27,0,0,0,AFG
6,Afghanistan,2020-01-28,0,0,0,AFG
7,Afghanistan,2020-01-29,0,0,0,AFG
8,Afghanistan,2020-01-30,0,0,0,AFG
9,Afghanistan,2020-01-31,0,0,0,AFG
10,Afghanistan,2020-02-01,0,0,0,AFG
11,Afghanistan,2020-02-02,0,0,0,AFG
12,Afghanistan,2020-02-03,0,0,0,AFG
13,Afghanistan,2020-02-04,0,0,0,AFG
14,Afghanistan,2020-02-05,0,0,0,AFG
15,Afghanistan,2020-02-06,0,0,0,AFG
16,Afghanistan,2020-02-07,0,0,0,AFG
17,Afghanistan,2020-02-08,0,0,0,AFG
18,Afghanistan,2020-02-09,0,0,0,AFG
19,Afghanistan,2020-02-10,0,0,0,AFG
20,Afghanistan,2020-02-11,0,0,0,AFG
21,Afghanistan,2020-02-12,0,0,0,AFG
22,Afghanistan,2020-02-13,0,0,0,AFG
23,Afghanistan,2020-02-14,0,0,0,AFG
24,Afghanistan,2020-02-15,0,0,0,AFG
25,Afghanistan,2020-02-16,0,0,0,AFG
26,Afghanistan,2020-02-17,0,0,0,AFG
27,Afghanistan,2020-02-18,0,0,0,AFG
28,Afghanistan,2020-02-19,0,0,0,AFG
29,Afghanistan,2020-02-20,0,0,0,AFG
30,Afghanistan,2020-02-21,0,0,0,AFG
31,Afghanistan,2020-02-22,0,0,0,AFG
32,Afghanistan,2020-02-23,0,0,0,AFG
33,Afghanistan,2020-02-24,0,1,0,AFG
34,Afghanistan,2020-02-25,0,1,0,AFG
35,Afghanistan,2020-02-26,0,1,0,AFG
36,Afghanistan,2020-02-27,0,1,0,AFG
37,Afghanistan,2020-02-28,0,1,0,AFG
38,Afghanistan,2020-02-29,0,1,0,AFG
39,Afghanistan,2020-03-01,0,1,0,AFG
40,Afghanistan,2020-03-02,0,1,0,AFG
41,Afghanistan,2020-03-03,0,1,0,AFG
42,Afghanistan,2020-03-04,0,1,0,AFG
43,Afghanistan,2020-03-05,0,1,0,AFG
44,Afghanistan,2020-03-06,0,1,0,AFG
45,Afghanistan,2020-03-07,0,1,0,AFG
46,Afghanistan,2020-03-08,0,4,0,AFG
47,Afghanistan,2020-03-09,0,4,0,AFG
48,Afghanistan,2020-03-10,0,5,0,AFG
49,Afghanistan,2020-03-11,0,7,0,AFG
50,Afghanistan,2020-03-12,0,7,0,AFG
51,Afghanistan,2020-03-13,0,7,0,AFG
52,Afghanistan,2020-03-14,0,11,0,AFG
53,Afghanistan,2020-03-15,0,16,0,AFG
54,Afghanistan,2020-03-16,0,21,1,AFG
55,Afghanistan,2020-03-17,0,22,1,AFG
56,Afghanistan,2020-03-18,0,22,1,AFG
57,Afghanistan,2020-03-19,0,22,1,AFG
58,Afghanistan,2020-03-20,0,24,1,AFG
59,Afghanistan,2020-03-21,0,24,1,AFG
60,Afghanistan,2020-03-22,1,40,1,AFG
61,Afghanistan,2020-03-23,1,40,1,AFG
62,Afghanistan,2020-03-24,1,74,1,AFG
63,Afghanistan,2020-03-25,2,84,2,AFG
64,Afghanistan,2020-03-26,4,94,2,AFG
65,Afghanistan,2020-03-27,4,110,2,AFG
66,Afghanistan,2020-03-28,4,110,2,AFG
67,Afghanistan,2020-03-29,4,120,2,AFG
68,Afghanistan,2020-03-30,4,170,2,AFG
69,Afghanistan,2020-03-31,4,174,5,AFG
70,Afghanistan,2020-04-01,4,237,5,AFG
71,Afghanistan,2020-04-02,6,273,10,AFG
72,Afghanistan,2020-04-03,6,281,10,AFG
73,Afghanistan,2020-04-04,7,299,10,AFG
74,Afghanistan,2020-04-05,7,349,15,AFG
75,Afghanistan,2020-04-06,11,367,18,AFG
76,Afghanistan,2020-04-07,14,423,18,AFG
77,Afghanistan,2020-04-08,14,444,29,AFG
78,Afghanistan,2020-04-09,15,484,32,AFG
79,Afghanistan,2020-04-10,15,521,32,AFG
80,Afghanistan,2020-04-11,18,555,32,AFG
81,Afghanistan,2020-04-12,18,607,32,AFG
82,Afghanistan,2020-04-13,21,665,32,AFG
83,Afghanistan,2020-04-14,23,714,40,AFG
84,Afghanistan,2020-04-15,25,784,43,AFG
85,Afghanistan,2020-04-16,30,840,54,AFG
86,Afghanistan,2020-04-17,30,906,99,AFG
87,Afghanistan,2020-04-18,30,933,112,AFG
88,Afghanistan,2020-04-19,33,996,131,AFG
89,Afghanistan,2020-04-20,36,1026,135,AFG
90,Afghanistan,2020-04-21,36,1092,150,AFG
91,Afghanistan,2020-04-22,40,1176,166,AFG
92,Afghanistan,2020-04-23,42,1279,179,AFG
93,Afghanistan,2020-04-24,43,1351,188,AFG
94,Afghanistan,2020-04-25,47,1463,188,AFG
95,Afghanistan,2020-04-26,50,1531,207,AFG
96,Afghanistan,2020-04-27,57,1703,220,AFG
97,Afghanistan,2020-04-28,58,1828,228,AFG
98,Afghanistan,2020-04-29,60,1939,252,AFG
99,Afghanistan,2020-04-30,64,2171,260,AFG
100,Afghanistan,2020-05-01,68,2335,310,AFG
101,Afghanistan,2020-05-02,72,2469,331,AFG
102,Afghanistan,2020-05-03,85,2704,345,AFG
103,Afghanistan,2020-05-04,90,2894,397,AFG
104,Afghanistan,2020-05-05,95,3224,421,AFG
105,Afghanistan,2020-05-06,104,3392,458,AFG
106,Afghanistan,2020-05-07,106,3563,468,AFG
107,Afghanistan,2020-05-08,109,3778,472,AFG
108,Afghanistan,2020-05-09,115,4033,502,AFG
109,Afghanistan,2020-05-10,120,4402,558,AFG
110,Afghanistan,2020-05-11,122,4687,558,AFG
111,Afghanistan,2020-05-12,127,4963,610,AFG
112,Afghanistan,2020-05-13,132,5226,648,AFG
113,Afghanistan,2020-05-14,136,5639,691,AFG
114,Afghanistan,2020-05-15,153,6053,745,AFG
115,Afghanistan,2020-05-16,168,6402,745,AFG
116,Afghanistan,2020-05-17,169,6664,778,AFG
117,Namibia,2020-01-22,0,0,0,NAM
118,Namibia,2020-01-23,0,0,0,NAM
119,Namibia,2020-01-24,0,0,0,NAM
120,Namibia,2020-01-25,0,0,0,NAM
121,Namibia,2020-01-26,0,0,0,NAM
122,Namibia,2020-01-27,0,0,0,NAM
123,Namibia,2020-01-28,0,0,0,NAM
124,Namibia,2020-01-29,0,0,0,NAM
125,Namibia,2020-01-30,0,0,0,NAM
126,Namibia,2020-01-31,0,0,0,NAM
127,Namibia,2020-02-01,0,0,0,NAM
128,Namibia,2020-02-02,0,0,0,NAM
129,Namibia,2020-02-03,0,0,0,NAM
130,Namibia,2020-02-04,0,0,0,NAM
131,Namibia,2020-02-05,0,0,0,NAM
132,Namibia,2020-02-06,0,0,0,NAM
133,Namibia,2020-02-07,0,0,0,NAM
134,Namibia,2020-02-08,0,0,0,NAM
135,Namibia,2020-02-09,0,0,0,NAM
136,Namibia,2020-02-10,0,0,0,NAM
137,Namibia,2020-02-11,0,0,0,NAM
138,Namibia,2020-02-12,0,0,0,NAM
139,Namibia,2020-02-13,0,0,0,NAM
140,Namibia,2020-02-14,0,0,0,NAM
141,Namibia,2020-02-15,0,0,0,NAM
142,Namibia,2020-02-16,0,0,0,NAM
143,Namibia,2020-02-17,0,0,0,NAM
144,Namibia,2020-02-18,0,0,0,NAM
145,Namibia,2020-02-19,0,0,0,NAM
146,Namibia,2020-02-20,0,0,0,NAM
147,Namibia,2020-02-21,0,0,0,NAM
148,Namibia,2020-02-22,0,0,0,NAM
149,Namibia,2020-02-23,0,0,0,NAM
150,Namibia,2020-02-24,0,0,0,NAM
151,Namibia,2020-02-25,0,0,0,NAM
152,Namibia,2020-02-26,0,0,0,NAM
153,Namibia,2020-02-27,0,0,0,NAM
154,Namibia,2020-02-28,0,0,0,NAM
155,Namibia,2020-02-29,0,0,0,NAM
156,Namibia,2020-03-01,0,0,0,NAM
157,Namibia,2020-03-02,0,0,0,NAM
158,Namibia,2020-03-03,0,0,0,NAM
159,Namibia,2020-03-04,0,0,0,NAM
160,Namibia,2020-03-05,0,0,0,NAM
161,Namibia,2020-03-06,0,0,0,NAM
162,Namibia,2020-03-07,0,0,0,NAM
163,Namibia,2020-03-08,0,0,0,NAM
164,Namibia,2020-03-09,0,0,0,NAM
165,Namibia,2020-03-10,0,0,0,NAM
166,Namibia,2020-03-11,0,0,0,NAM
167,Namibia,2020-03-12,0,0,0,NAM
168,Namibia,2020-03-13,0,0,0,NAM
169,Namibia,2020-03-14,0,2,0,NAM
170,Namibia,2020-03-15,0,2,0,NAM
171,Namibia,2020-03-16,0,2,0,NAM
172,Namibia,2020-03-17,0,2,0,NAM
173,Namibia,2020-03-18,0,2,0,NAM
174,Namibia,2020-03-19,0,3,0,NAM
175,Namibia,2020-03-20,0,3,0,NAM
176,Namibia,2020-03-21,0,3,0,NAM
177,Namibia,2020-03-22,0,3,0,NAM
178,Namibia,2020-03-23,0,4,0,NAM
179,Namibia,2020-03-24,0,7,2,NAM
180,Namibia,2020-03-25,0,7,2,NAM
181,Namibia,2020-03-26,0,8,2,NAM
182,Namibia,2020-03-27,0,8,2,NAM
183,Namibia,2020-03-28,0,8,2,NAM
184,Namibia,2020-03-29,0,11,2,NAM
185,Namibia,2020-03-30,0,11,2,NAM
186,Namibia,2020-03-31,0,11,2,NAM
187,Namibia,2020-04-01,0,14,2,NAM
188,Namibia,2020-04-02,0,14,3,NAM
189,Namibia,2020-04-03,0,14,3,NAM
190,Namibia,2020-04-04,0,14,3,NAM
191,Namibia,2020-04-05,0,16,3,NAM
192,Namibia,2020-04-06,0,16,3,NAM
193,Namibia,2020-04-07,0,16,3,NAM
194,Namibia,2020-04-08,0,16,3,NAM
195,Namibia,2020-04-09,0,16,3,NAM
196,Namibia,2020-04-10,0,16,3,NAM
197,Namibia,2020-04-11,0,16,3,NAM
198,Namibia,2020-04-12,0,16,3,NAM
199,Namibia,2020-04-13,0,16,3,NAM
200,Namibia,2020-04-14,0,16,3,NAM
201,Namibia,2020-04-15,0,16,3,NAM
202,Namibia,2020-04-16,0,16,4,NAM
