,ISO code,Entity,date,Cumulative total,Cumulative total per thousand,country
0,ARG,Argentina - tests performed,2020-05-18,105829,2.342,Argentina
1,AUS,Australia - tests performed,2020-05-19,1085870,42.583,Australia
2,AUT,Austria - tests performed,2020-05-19,372435,41.352,Austria
3,BHR,Bahrain - units unclear,2020-05-19,248205,145.86700000000002,Bahrain
4,BGD,Bangladesh - samples tested,2020-05-19,193645,1.176,Bangladesh
5,BLR,Belarus - tests performed,2020-05-17,350515,37.094,Belarus
6,BEL,Belgium - units unclear,2020-05-17,578746,49.937,Belgium
7,BOL,Bolivia - cases tested,2020-05-18,10349,0.887,Bolivia
8,BRA,Brazil - tests performed,2020-05-14,3081480,14.497,Brazil
9,BGR,Bulgaria - tests performed,2020-05-19,66810,9.615,Bulgaria
10,CAN,Canada - people tested,2020-05-19,1336967,35.424,Canada
11,CHL,Chile - tests performed,2020-05-19,397200,20.778000000000002,Chile
12,COL,Colombia - samples tested,2020-05-17,196417,3.86,Colombia
13,CRI,Costa Rica - people tested,2020-05-19,14616,2.8689999999999998,Costa Rica
14,HRV,Croatia - people tested,2020-05-19,55800,13.592,Croatia
15,CUB,Cuba - tests performed,2020-05-18,85556,7.553999999999999,Cuba
16,CZE,Czech Republic - tests performed,2020-05-18,363963,33.986999999999995,Czech Republic
17,DNK,Denmark - people tested,2020-05-19,402194,69.437,Denmark
18,ECU,Ecuador - units unclear,2020-05-19,53813,3.05,Ecuador
19,SLV,El Salvador - tests performed,2020-05-18,60341,9.302999999999999,El Salvador
20,EST,Estonia - tests performed,2020-05-18,71441,53.855,Estonia
21,ETH,Ethiopia - tests performed,2020-05-19,62300,0.542,Ethiopia
22,FIN,Finland - samples tested,2020-05-17,151935,27.421999999999997,Finland
23,FRA,France - tests performed,2020-05-05,831174,12.734000000000002,France
24,DEU,Germany - tests performed,2020-05-10,3147771,37.57,Germany
25,GHA,Ghana - people tested,2020-05-17,179586,5.779,Ghana
26,GHA,Ghana - samples tested,2020-05-17,180567,5.811,Ghana
27,GRC,Greece - tests performed,2020-05-19,136001,13.048,Greece
28,HKG,Hong Kong - tests performed,2020-05-12,183491,24.475,Hong Kong
29,HUN,Hungary - tests performed,2020-05-19,138697,14.357000000000001,Hungary
30,ISL,Iceland - samples tested,2020-05-18,57146,167.46099999999998,Iceland
31,IND,India - people tested,2020-04-24,525667,0.381,India
32,IND,India - samples tested,2020-05-18,2302792,1.669,India
33,IDN,Indonesia - people tested,2020-05-19,147799,0.54,Indonesia
34,IRN,Iran - tests performed,2020-05-19,716176,8.527000000000001,Iran
35,IRL,Ireland - units unclear,2020-05-19,295626,59.87,Ireland
36,ISR,Israel - tests performed,2020-05-17,498969,57.647,Israel
37,ITA,Italy - people tested,2020-05-19,1999599,33.071999999999996,Italy
38,ITA,Italy - tests performed,2020-05-19,3104524,51.347,Italy
39,JPN,Japan - people tested,2020-05-19,255675,2.022,Japan
40,JPN,Japan - tests performed,2020-05-16,402476,3.182,Japan
41,KAZ,Kazakhstan - tests performed,2020-05-19,553062,29.455,Kazakhstan
42,KEN,Kenya - units unclear,2020-05-19,46784,0.87,Kenya
43,LVA,Latvia - tests performed,2020-05-19,90968,48.228,Latvia
44,LTU,Lithuania - samples tested,2020-05-19,237600,87.279,Lithuania
45,LUX,Luxembourg - people tested,2020-05-19,63011,100.66,Luxembourg
46,MYS,Malaysia - cases tested,2020-05-17,443263,13.695,Malaysia
47,MEX,Mexico - cases tested,2020-05-17,150198,1.165,Mexico
48,MAR,Morocco - people tested,2020-05-18,95536,2.588,Morocco
49,MMR,Myanmar - samples tested,2020-05-19,15137,0.278,Myanmar
50,NPL,Nepal - people tested,2020-05-18,30724,1.054,Nepal
51,NLD,Netherlands - people tested,2020-05-18,302395,17.648,Netherlands
52,NZL,New Zealand - tests performed,2020-05-18,233843,48.493,New Zealand
53,NGA,Nigeria - samples tested,2020-05-19,36899,0.179,Nigeria
54,NOR,Norway - people tested,2020-05-19,219984,40.578,Norway
55,PAK,Pakistan - tests performed,2020-05-19,400292,1.8119999999999998,Pakistan
56,PAN,Panama - units unclear,2020-05-18,51105,11.844000000000001,Panama
57,PRY,Paraguay - samples tested,2020-05-09,14646,2.053,Paraguay
58,PER,Peru - units unclear,2020-05-19,105627,3.2039999999999997,Peru
59,PHL,Philippines - people tested,2020-05-15,188024,1.716,Philippines
60,POL,Poland - samples tested,2020-05-19,653224,17.26,Poland
61,PRT,Portugal - samples tested,2020-05-17,662375,64.96,Portugal
62,QAT,Qatar - people tested,2020-05-19,166182,57.681000000000004,Qatar
63,ROU,Romania - tests performed,2020-05-17,310407,16.135,Romania
64,RUS,Russia - tests performed,2020-05-19,7352316,50.381,Russia
65,RWA,Rwanda - units unclear,2020-05-18,51118,3.947,Rwanda
66,SAU,Saudi Arabia - units unclear,2020-05-19,618084,17.754,Saudi Arabia
67,SEN,Senegal - tests performed,2020-05-19,30436,1.818,Senegal
68,SRB,Serbia - people tested,2020-05-19,190683,28.023000000000003,Serbia
69,SGP,Singapore - people tested,2020-05-10,186183,31.824,Singapore
70,SGP,Singapore - swabs tested,2020-05-10,246254,42.092,Singapore
71,SVK,Slovakia - tests performed,2020-05-19,145474,26.645,Slovakia
72,SVN,Slovenia - tests performed,2020-05-18,70970,34.138000000000005,Slovenia
73,ZAF,South Africa - units unclear,2020-05-18,475071,8.01,South Africa
74,KOR,South Korea - cases tested,2020-05-19,765574,14.932,South Korea
75,ESP,Spain - tests performed,2020-05-14,1919411,41.053000000000004,Spain
76,SWE,Sweden - people tested,2020-05-17,209900,20.784000000000002,Sweden
77,CHE,Switzerland - tests performed,2020-05-18,350091,40.451,Switzerland
