,Year,Month,births,country,deaths
0,2017,Total,279.0,Islands,235.0
1,2017,January,25.0,Islands,17.0
2,2017,February,23.0,Islands,7.0
3,2017,March,19.0,Islands,24.0
4,2017,April,19.0,Islands,19.0
5,2017,May,26.0,Islands,12.0
6,2017,June,31.0,Islands,17.0
7,2017,July,21.0,Islands,29.0
8,2017,August,24.0,Islands,16.0
9,2017,September,24.0,Islands,23.0
10,2017,October,27.0,Islands,26.0
11,2017,November,16.0,Islands,22.0
12,2017,December,24.0,Islands,23.0
13,2016,Total,293.0,Islands,297.0
14,2016,January,18.0,Islands,16.0
15,2016,February,21.0,Islands,23.0
16,2016,March,24.0,Islands,37.0
17,2016,April,30.0,Islands,32.0
18,2016,May,29.0,Islands,22.0
19,2016,June,32.0,Islands,29.0
20,2016,July,23.0,Islands,24.0
21,2016,August,23.0,Islands,17.0
22,2016,September,27.0,Islands,25.0
23,2016,October,27.0,Islands,18.0
24,2016,November,18.0,Islands,30.0
25,2016,December,21.0,Islands,24.0
26,2015,Total,275.0,Islands,285.0
27,2015,January,20.0,Islands,26.0
28,2015,February,24.0,Islands,29.0
29,2015,March,20.0,Islands,28.0
30,2015,April,28.0,Islands,36.0
31,2015,May,25.0,Islands,26.0
32,2015,June,17.0,Islands,19.0
33,2015,July,15.0,Islands,12.0
34,2015,August,32.0,Islands,24.0
35,2015,September,23.0,Islands,23.0
36,2015,October,20.0,Islands,19.0
37,2015,November,28.0,Islands,23.0
38,2015,December,23.0,Islands,20.0
39,2014,Total,282.0,Islands,251.0
40,2014,January,16.0,Islands,26.0
41,2014,February,26.0,Islands,11.0
42,2014,March,22.0,Islands,19.0
43,2014,April,21.0,Islands,19.0
44,2014,May,18.0,Islands,22.0
45,2014,June,25.0,Islands,12.0
46,2014,July,32.0,Islands,17.0
47,2014,August,24.0,Islands,29.0
48,2014,September,33.0,Islands,26.0
49,2014,October,25.0,Islands,25.0
50,2014,November,24.0,Islands,17.0
51,2014,December,16.0,Islands,28.0
52,2013,Total,287.0,Islands,269.0
53,2013,January,23.0,Islands,26.0
54,2013,February,17.0,Islands,14.0
55,2013,March,28.0,Islands,19.0
56,2013,April,22.0,Islands,19.0
57,2013,May,32.0,Islands,29.0
58,2013,June,32.0,Islands,26.0
59,2013,July,19.0,Islands,18.0
60,2013,August,28.0,Islands,24.0
61,2013,September,27.0,Islands,17.0
62,2013,October,24.0,Islands,29.0
63,2013,November,19.0,Islands,20.0
64,2013,December,16.0,Islands,28.0
65,2012,Total,292.0,Islands,323.0
66,2012,January,29.0,Islands,35.0
67,2012,February,27.0,Islands,27.0
68,2012,March,25.0,Islands,32.0
69,2012,April,26.0,Islands,26.0
70,2012,May,23.0,Islands,19.0
71,2012,June,33.0,Islands,27.0
72,2012,July,26.0,Islands,30.0
73,2012,August,27.0,Islands,27.0
74,2012,September,18.0,Islands,18.0
75,2012,October,21.0,Islands,24.0
76,2012,November,23.0,Islands,25.0
77,2012,December,14.0,Islands,33.0
78,2017,Total,30869.0,Albania,22232.0
79,2017,January,2423.0,Albania,3129.0
80,2017,February,2169.0,Albania,1845.0
81,2017,March,2324.0,Albania,1817.0
82,2017,April,2231.0,Albania,1665.0
83,2017,May,2541.0,Albania,1660.0
84,2017,June,2711.0,Albania,1605.0
85,2017,July,2814.0,Albania,1788.0
86,2017,August,2827.0,Albania,1833.0
87,2017,September,2898.0,Albania,1482.0
88,2017,October,2803.0,Albania,1679.0
89,2017,November,2538.0,Albania,1716.0
90,2017,December,2590.0,Albania,2013.0
91,2016,Total,31733.0,Albania,21388.0
92,2016,January,2517.0,Albania,2065.0
93,2016,February,2274.0,Albania,1905.0
94,2016,March,2372.0,Albania,1910.0
95,2016,April,2269.0,Albania,1652.0
96,2016,May,2456.0,Albania,1716.0
97,2016,June,2640.0,Albania,1678.0
98,2016,July,2999.0,Albania,1643.0
99,2016,August,2946.0,Albania,1578.0
100,2016,September,3141.0,Albania,1459.0
101,2016,October,2882.0,Albania,1743.0
102,2016,November,2580.0,Albania,1855.0
103,2016,December,2657.0,Albania,2184.0
104,2013,Total,35750.0,Albania,20442.0
